product_id,product_name,category,subcategory,unit_price,supplier
PROD-0001,Eco Organic Sock,clothing,Socks,31.58,KappaSource
PROD-0002,Eco Leather Charger,electronics,Chargers,111.88,ThetaImports
PROD-0003,Pro Organic Swimming,Sport,Swimming,69.24,AlphaSupply
PROD-0004,Deluxe Wireless Decor,Home & Garden,Decor,254.02,IotaMfg
PROD-0005,Basic Silk Biography,books,Biography,24.15,GammaTrade
PROD-0006,Essential Silk Biography,books,Biography,31.76,ThetaImports
PROD-0007,Classic Cotton Lighting,Home & Garden,Lighting,326.9,IotaMfg
PROD-0008,Smart Leather Football,Sport,Football,243.3,DeltaWholesale
PROD-0009,Classic Digital Sock,CLOTHING,Socks,172.7,IotaMfg
PROD-0010,Basic Digital Biography,Books,Biography,27.83,EpsilonDist
PROD-0011,Ultra Steel Children,Books,Children,5.69,KappaSource
PROD-0012,Essential Leather Tenni,SPORTS,Tennis,297.9,DeltaWholesale
PROD-0013,Compact Recycled Boxing,Sports,Boxing,45.62,GammaTrade
PROD-0014,Essential Recycled Cookbook,BOOKS,Cookbooks,15.38,BetaGoods
PROD-0015,Smart Wooden Boxing,SPORTS,Boxing,285.01,ThetaImports
PROD-0016,Compact Silk Tablet,Electronics,Tablets,921.85,GammaTrade
PROD-0017,Pro Digital Cookbook,Books,Cookbooks,18.35,ThetaImports
PROD-0018,Classic Wooden Furniture,home & garden,Furniture,315.94,BetaGoods
PROD-0019,Classic Wooden Charger,Electronics,Chargers,293.93,IotaMfg
PROD-0020,Classic Titanium Bedding,Home&Garden,Bedding,398.94,BetaGoods
PROD-0021,Basic Titanium Scarve,,Scarves,163.61,GammaTrade
PROD-0022,Basic Organic Running,Sports,Running,149.29,GammaTrade
PROD-0023,Pro Leather Yoga,Sports,Yoga,-16.62,GammaTrade
PROD-0024,Pro Steel Hat,Clothing,Hats,72.22,GammaTrade
PROD-0025,Pro Cotton Garden Tool,Home&Garden,Garden Tools,178.18,IotaMfg
PROD-0026,Deluxe Wooden Biography,Books,Biography,13.89,ThetaImports
PROD-0027,Pro Titanium Smart Watche,electronics,Smart Watches,442.53,EpsilonDist
PROD-0028,Ultra Digital Lighting,Home&Garden,Lighting,286.16,BetaGoods
PROD-0029,Smart Wireless Academic,Books,Academic,31.4,KappaSource
PROD-0030,Classic Wooden Storage,Home & Garden,Storage,405.66,DeltaWholesale
PROD-0031,Basic Wooden Headphone,ELECTRONICS,Headphones,783.03,AlphaSupply
PROD-0032,Compact Organic Bedding,Home&Garden,Bedding,449.97,LambdaVendor
PROD-0033,Smart Wireless Jacket,Clothing,Jackets,146.08,BetaGoods
PROD-0034,Basic Organic Boxing,Sport,Boxing,65.85,AlphaSupply
PROD-0035,Classic Titanium Storage,Home & Garden,Storage,90.53,LambdaVendor
PROD-0036,Compact Steel Smart Watche,Electronics,Smart Watches,913.05,ThetaImports
PROD-0037,Premium Cotton Smartphone,ELECTRONICS,Smartphones,478.37,EpsilonDist
PROD-0038,Ultra Cotton Decor,home & garden,Decor,280.88,ThetaImports
PROD-0039,Classic Organic Cleaning,Home&Garden,Cleaning,469.22,AlphaSupply
PROD-0040,Ultra Digital Jean,Apparel,Jeans,42.33,ZetaProducts
PROD-0041,Deluxe Steel Running,Sports,Running,40.34,ZetaProducts
PROD-0042,Essential Wooden Boxing,SPORTS,Boxing,178.36,GammaTrade
PROD-0043,Classic Silk Boxing,Sport,Boxing,162.05,EpsilonDist
